Student_ID,Age,Gender,Department,Semester,CGPA,Academic_Score,Attendance_Percentage,Communication_Skill,Programming_Skill,Problem_Solving,Aptitude_Score,Logical_Reasoning,Technical_Test_Score,Coding_Assessment,Industry_Skill,Internship_Count,Internship_Performance,Projects_Completed,Mini_Projects,Major_Project_Score,Certifications,Hackathon_Participation,Workshops_Attended,Technical_Events,Soft_Skill_Rating,Resume_Score,Interview_Score,Skill_Gap,Employability_Percentage,Placement_Package_LPA,Employment_Status
S481,19,Male,ECE,1,8.61,49,68,72,84,89,62,48,86,65,72,0,61,6,5,88,9,1,11,0,44,87,80,23,71.0,4.9,Employed
S849,20,Female,EEE,6,5.82,94,80,52,92,98,56,79,58,85,89,1,50,6,4,64,4,2,7,7,70,60,56,5,81.35,5.48,Employed
S054,19,Male,IT,7,6.0,88,97,71,74,40,54,65,42,35,61,2,100,4,2,98,4,4,5,1,40,71,90,27,69.7,3.35,Not Employed
S949,18,Female,EEE,8,7.72,72,91,80,83,60,53,96,65,56,90,2,46,6,5,53,2,5,7,8,82,58,90,18,79.45,5.82,Employed
S291,19,Female,ECE,6,6.25,64,83,67,60,98,80,94,44,62,71,2,43,5,5,75,3,1,11,9,46,77,78,7,72.55,3.55,Employed
S923,23,Female,IT,8,9.4,77,62,40,56,67,82,95,72,59,52,1,96,7,2,60,1,6,9,0,90,64,83,25,66.65,4.1,Not Employed
S155,24,Male,IT,5,7.55,78,98,73,78,90,96,83,52,78,97,2,88,4,2,75,,3,3,2,53,86,37,19,78.05,6.77,Employed
S227,18,Male,CSE,8,8.35,50,93,85,84,100,79,100,55,83,83,0,89,3,3,86,10,2,2,2,51,89,41,33,69.3,3.84,Not Employed
S740,21,Male,IT,3,7.66,80,91,57,42,56,78,79,42,91,45,3,67,1,4,64,2,2,4,8,81,100,48,35,62.2,0.0,Not Employed
S195,22,Female,IT,3,7.74,58,86,84,82,81,94,65,70,92,58,4,48,4,1,96,4,3,8,6,94,64,60,0,81.2,5.44,Employed
S077,20,Male,CSE,5,7.73,98,90,58,36,48,67,48,68,81,86,2,42,7,1,86,8,3,5,8,58,44,84,12,81.95,6.51,Employed
S311,20,Male,EEE,7,6.83,48,95,44,40,100,46,72,89,87,47,3,82,5,3,66,9,1,12,8,41,47,94,1,65.9,3.36,Not Employed
S805,19,Female,ECE,6,9.33,53,66,55,82,59,42,97,51,99,46,3,61,1,4,66,6,3,0,10,92,43,79,7,66.45,4.43,Not Employed
S601,18,Female,AI&DS,6,5.87,76,89,78,69,43,68,64,59,70,53,2,94,1,4,65,3,0,5,5,92,79,96,23,72.3,4.12,Employed
S613,23,Female,Mechanical,8,6.41,62,61,82,69,59,55,84,92,35,40,4,93,7,5,94,7,3,11,0,58,63,46,22,66.6,4.2,Not Employed
S364,23,Female,CSE,6,5.58,82,88,64,100,64,72,77,36,64,37,4,88,2,3,65,6,3,9,1,43,48,82,45,66.15,4.0,Not Employed
S475,22,Male,IT,6,9.79,73,71,56,70,68,95,71,51,64,57,1,95,1,2,57,10,0,2,10,72,95,91,16,75.1,6.74,Employed
S598,20,Male,CSE,8,7.27,64,95,57,64,59,71,78,98,90,90,1,71,1,3,56,1,5,11,7,78,58,53,26,68.8,3.47,Not Employed
S870,19,Male,CSE,1,6.99,58,100,81,72,91,90,41,68,98,74,3,97,7,3,84,4,5,5,9,54,78,90,16,81.4,5.98,Employed
S611,20,Male,Mechanical,4,9.87,92,83,44,70,88,81,41,73,39,50,2,49,5,4,63,1,0,7,2,40,47,46,42,60.05,0.0,Not Employed
S942,19,Male,AI&DS,3,5.53,55,75,62,43,40,49,91,82,77,79,0,47,4,3,68,5,0,3,6,77,72,71,24,64.4,0.0,Not Employed
S776,23,Female,CSE,1,7.96,97,78,52,82,84,90,45,71,42,65,4,58,6,6,65,10,1,9,8,88,43,96,32,84.2,5.83,Employed
S676,18,Female,AI&DS,2,5.92,61,98,74,65,40,70,84,70,56,35,3,92,4,4,71,1,1,8,9,54,99,70,26,62.85,0.0,Not Employed
S076,21,Male,AI&DS,2,5.73,69,99,66,66,55,92,60,75,59,55,3,72,8,4,69,7,0,1,6,72,69,65,14,76.65,5.65,Employed
S262,18,Female,EEE,2,5.82,60,88,77,76,88,52,87,76,64,49,2,54,2,2,97,6,3,6,3,44,70,97,11,69.5,3.11,Not Employed
S162,24,Female,AI&DS,2,8.88,65,75,61,70,41,72,54,83,86,65,0,69,8,5,78,1,7,7,5,47,71,37,0,68.85,3.21,Not Employed
S168,23,Female,AI&DS,1,8.61,63,73,88,39,80,92,68,48,63,84,1,72,5,6,92,0,6,6,6,90,83,75,21,72.8,4.93,Employed
S072,24,Male,AI&DS,8,5.62,80,96,63,94,51,79,96,46,43,74,3,85,8,5,76,6,1,2,5,81,44,92,6,84.6,6.4,Employed
S462,24,Female,CSE,1,5.63,91,70,54,47,48,71,99,95,76,64,1,46,3,6,74,6,1,0,9,56,47,39,27,66.4,4.69,Not Employed
S447,21,Female,CSE,1,8.41,52,74,47,41,39,76,57,65,43,47,2,54,7,4,75,1,3,11,4,71,53,56,5,59.4,0.0,Not Employed
S209,21,Male,EEE,5,6.95,86,80,47,47,43,42,93,51,57,39,1,46,8,2,56,0,6,10,7,73,79,67,47,54.4,0.0,Not Employed
S424,19,Female,AI&DS,4,6.94,47,98,89,83,42,99,91,81,90,95,1,43,4,1,98,10,6,4,4,80,51,45,48,74.0,3.28,Employed
S818,23,Male,Mechanical,3,5.8,56,80,69,59,,67,41,73,64,50,1,88,7,5,90,1,7,2,0,52,47,60,6,62.8,0.0,Not Employed
S204,20,Male,AI&DS,1,6.7,70,64,74,95,58,52,97,67,83,36,0,89,4,4,99,7,3,11,0,52,69,47,34,60.25,0.0,Not Employed
S643,19,Male,IT,,5.74,74,84,96,90,44,78,58,80,100,96,0,99,8,1,72,5,3,4,8,50,40,47,22,80.7,5.44,Employed
S767,23,Female,CSE,3,8.79,55,63,53,67,64,87,88,96,78,64,3,62,7,5,,7,8,5,10,50,63,68,9,75.35,7.84,Employed
S986,21,Male,Mechanical,8,9.2,45,63,58,36,66,97,93,36,74,75,2,47,5,1,98,3,8,2,2,45,91,38,30,60.2,0.0,Not Employed
S156,19,Male,IT,1,7.19,85,76,89,41,41,82,46,37,41,49,3,68,7,1,85,4,7,11,2,53,84,36,36,65.15,3.6,Not Employed
S860,22,Male,EEE,8,6.96,93,61,65,96,98,64,46,40,89,82,4,50,1,6,84,8,1,10,4,55,89,44,11,83.85,6.86,Employed
S515,21,Male,AI&DS,6,6.08,77,84,83,93,36,71,81,86,89,41,2,67,5,6,90,1,7,8,5,89,70,77,36,71.5,4.69,Employed
S958,21,Male,AI&DS,5,7.05,94,81,90,60,99,92,64,67,92,36,1,62,5,5,73,3,6,12,2,66,75,40,58,63.1,0.0,Not Employed
S675,18,Male,AI&DS,7,9.4,58,89,66,44,48,83,75,91,52,63,1,53,6,1,52,4,0,9,6,47,57,92,5,70.55,4.79,Employed
S695,24,Female,AI&DS,7,9.73,47,83,80,37,78,55,71,85,89,90,0,73,2,1,97,2,6,12,0,100,42,59,43,59.7,0.0,Not Employed
S325,20,Female,CSE,3,8.7,98,86,45,46,42,67,96,51,95,62,3,44,6,6,83,6,8,8,6,95,56,98,36,75.75,6.91,Employed
S366,23,Male,EEE,7,7.85,56,88,80,35,43,95,71,43,59,41,1,100,4,2,55,2,8,12,3,55,72,45,15,57.85,0.0,Not Employed
S745,23,Male,CSE,1,8.04,56,82,74,80,92,67,85,89,67,98,0,53,2,5,50,5,3,10,3,78,65,55,42,68.45,4.65,Not Employed
S295,23,Female,CSE,1,9.37,50,80,78,73,43,97,66,81,46,85,1,55,2,5,97,8,1,8,10,93,77,67,35,72.85,3.99,Employed
S065,24,Female,EEE,1,8.34,81,75,85,53,72,67,40,80,65,88,1,82,2,5,73,1,8,8,8,90,72,37,7,74.95,3.78,Employed
S231,23,Male,ECE,5,7.42,99,80,56,80,51,79,76,98,98,98,1,96,4,6,68,3,0,1,0,69,80,50,1,87.95,15.37,Employed
S380,22,Male,CSE,7,5.54,99,89,60,53,72,93,54,98,93,53,4,58,3,6,92,0,5,4,8,84,47,70,46,72.4,4.99,Employed
S275,21,Female,ECE,6,5.55,67,82,59,92,46,53,86,91,88,91,2,50,7,6,76,2,1,2,3,59,70,77,24,77.8,5.2,Employed
S954,18,Male,ECE,1,9.69,54,89,71,39,76,65,57,86,49,88,0,70,7,2,75,4,3,11,8,85,100,80,34,68.6,3.02,Not Employed
S612,23,Male,ECE,5,6.72,89,96,70,43,54,53,44,85,83,38,0,71,7,4,76,2,0,9,0,82,44,70,51,58.0,0.0,Not Employed
S781,20,Male,EEE,1,8.92,81,83,99,52,44,90,69,81,77,100,2,47,8,4,,4,1,10,2,71,58,84,19,88.25,14.02,Employed
S809,19,Male,EEE,7,7.05,64,,64,56,93,52,48,56,84,52,3,96,2,1,68,2,4,3,6,82,48,78,12,65.8,4.88,Not Employed
S283,18,Male,IT,7,7.41,,74,66,49,75,47,69,49,52,98,2,85,5,5,96,0,1,5,7,47,64,71,21,70.2,3.91,Employed
S043,19,Male,EEE,5,8.55,91,68,80,47,40,59,90,91,39,81,1,45,5,3,97,6,2,3,2,90,74,81,10,80.8,6.59,Employed
S199,18,Female,EEE,1,5.62,70,93,88,45,48,56,79,54,45,84,2,54,4,6,68,7,2,2,8,93,50,38,14,71.3,3.07,Employed
S336,24,Male,EEE,1,9.52,97,88,83,50,80,92,64,80,84,57,0,47,8,3,62,7,0,3,0,88,57,80,40,76.25,5.57,Employed
S448,24,Male,IT,5,8.68,63,60,46,58,99,98,84,96,74,65,1,60,2,2,61,5,7,2,0,82,70,89,2,75.4,6.0,Employed
S109,20,Male,Mechanical,2,5.6,66,66,83,56,66,73,51,55,77,89,3,54,7,6,61,2,6,6,0,87,79,60,23,77.5,6.35,Employed
S812,24,Female,Mechanical,5,7.75,95,89,65,69,77,100,52,81,65,90,2,76,8,3,75,6,8,6,1,67,53,70,5,89.7,9.26,Employed
S877,24,Female,ECE,2,8.81,73,84,99,55,85,77,99,43,74,63,1,92,7,2,87,9,4,6,10,90,67,68,10,78.3,7.92,Employed
S346,18,Male,AI&DS,5,6.28,61,71,61,66,57,52,41,57,68,47,0,93,3,4,91,1,5,3,4,69,55,82,14,59.35,0.0,Not Employed
S879,23,Female,EEE,8,8.12,73,70,75,82,97,61,80,79,51,49,4,43,3,2,54,7,7,11,8,78,82,44,24,71.3,4.64,Employed
S894,20,Male,ECE,5,9.07,56,78,40,68,62,51,66,47,48,41,0,52,5,4,83,,1,11,6,53,43,95,15,56.85,0.0,Not Employed
S850,20,Male,CSE,7,5.86,70,82,74,45,53,91,78,52,38,82,4,86,3,2,87,4,1,1,5,99,95,87,12,81.4,5.66,Employed
S123,20,Male,EEE,4,9.88,54,94,60,85,43,59,84,90,65,42,1,45,7,1,79,9,0,4,10,87,82,57,12,68.6,3.24,Not Employed
S337,24,Female,Mechanical,4,6.55,76,83,42,70,98,97,85,61,35,60,3,47,5,5,82,7,2,8,3,82,87,57,16,74.35,3.13,Employed
S249,19,Male,ECE,7,8.97,60,88,86,56,61,76,86,79,41,68,0,43,3,4,75,7,4,7,8,54,64,84,8,71.1,3.95,Employed
S375,23,Female,ECE,1,9.89,100,81,91,47,35,69,95,86,52,38,4,47,5,6,98,3,5,7,9,83,82,95,62,70.55,4.03,Employed
S886,20,Male,ECE,1,8.47,98,92,98,65,95,71,51,93,38,55,4,78,7,6,74,6,0,5,3,58,51,45,,74.4,3.76,Employed
S556,24,Male,ECE,3,8.41,70,97,52,66,79,44,54,70,52,86,0,86,3,2,78,2,4,12,5,40,80,50,16,63.8,0.0,Not Employed
S619,22,Male,Mechanical,8,9.9,76,80,62,38,67,84,70,84,47,89,4,79,6,6,81,0,6,0,7,88,97,46,13,78.2,6.42,Employed
S669,18,Male,AI&DS,1,8.79,88,85,48,62,70,47,76,35,61,49,0,66,2,3,63,7,2,2,10,90,47,82,39,59.65,0.0,Not Employed
S148,23,Male,IT,1,7.24,55,96,89,62,63,81,54,61,69,87,4,41,1,4,58,10,2,9,0,54,56,74,32,76.1,7.14,Employed
S192,20,Male,IT,2,7.3,92,81,44,57,95,60,62,62,69,58,1,71,4,2,97,3,4,3,3,52,93,66,34,64.7,0.0,Not Employed
S576,18,Male,Mechanical,6,9.93,69,74,63,86,40,49,49,66,68,89,4,85,5,2,91,4,6,11,0,66,92,87,20,81.2,6.13,Employed
S966,24,Male,EEE,2,8.53,81,94,99,55,97,47,75,54,88,76,1,89,4,4,55,7,0,8,6,92,93,74,5,81.25,6.83,Employed
S826,20,Male,EEE,2,8.09,69,97,53,76,92,75,71,80,58,42,3,91,1,2,51,4,2,6,2,82,40,44,27,61.6,0.0,Not Employed
S751,24,Female,AI&DS,2,5.88,73,61,86,99,72,99,82,100,38,44,4,99,7,3,69,8,2,2,1,68,100,80,29,82.8,6.57,Employed
S197,24,Female,IT,,7.35,67,98,52,57,71,62,60,100,97,92,0,64,5,,90,2,2,10,5,66,80,86,25,73.15,4.7,Employed
S631,,Female,CSE,2,6.35,61,91,69,70,100,76,66,60,69,41,3,80,8,5,56,7,6,6,5,47,48,58,20,66.9,3.25,Not Employed
S904,24,Male,CSE,1,5.59,80,93,64,66,72,87,85,86,93,65,4,47,1,1,83,8,1,1,4,47,65,35,15,76.25,5.07,Employed
S521,20,Female,,1,7.04,65,82,92,91,,69,94,98,61,56,3,56,7,1,92,9,1,10,7,75,62,45,9,79.4,5.62,Employed
S037,19,Female,EEE,3,7.23,83,92,87,52,43,57,89,88,78,99,2,92,1,3,96,4,7,2,7,74,70,79,16,81.7,6.0,Employed
S039,24,Female,CSE,8,5.57,54,86,95,54,44,70,90,68,78,85,0,94,6,6,84,6,5,10,7,95,74,39,31,69.15,4.23,Not Employed
S765,19,Male,AI&DS,3,6.82,93,88,67,96,95,59,65,52,75,43,3,41,2,1,61,4,1,1,5,98,94,99,50,72.75,4.63,Employed
S423,21,Male,IT,8,7.61,79,89,46,45,58,86,46,85,90,60,3,61,2,3,71,9,7,3,7,47,57,93,19,74.95,3.08,Employed
S350,20,Female,EEE,6,6.54,47,89,72,78,89,68,69,90,87,82,3,60,5,4,51,2,7,3,4,81,44,80,35,71.7,4.8,Employed
S743,22,Male,CSE,4,5.62,92,86,75,64,47,68,65,70,46,97,1,67,1,5,50,8,1,12,10,63,68,48,5,80.65,5.44,Employed
S487,19,Male,EEE,4,5.51,49,91,75,61,57,42,66,68,83,65,2,70,3,3,64,4,7,7,10,65,78,80,16,66.6,4.09,Not Employed
S167,23,Male,EEE,6,8.7,93,82,75,96,88,83,87,71,89,36,4,46,1,4,59,0,0,3,4,88,90,55,57,68.7,4.97,Not Employed
S154,21,Female,ECE,7,5.52,79,72,86,82,36,97,60,59,37,35,1,54,6,3,58,1,6,8,9,59,50,43,44,60.05,0.0,Not Employed
S069,21,Female,ECE,1,8.77,67,99,67,70,42,44,82,86,81,100,1,100,1,2,88,10,7,0,2,44,55,81,33,73.3,3.72,Employed
S984,24,Female,ECE,7,5.62,92,94,66,51,63,60,44,35,95,87,2,44,2,4,90,0,8,12,5,45,70,65,5,75.25,7.88,Employed
S848,23,Female,AI&DS,4,8.83,45,94,92,60,60,58,58,73,91,37,2,72,8,5,88,9,5,0,4,69,41,56,8,66.6,3.02,Not Employed
S440,22,Female,EEE,7,6.56,46,78,41,35,94,58,48,86,39,40,2,81,1,1,80,1,6,11,4,57,60,79,6,53.4,0.0,Not Employed
S240,19,Female,IT,3,7.79,70,66,60,44,73,74,69,86,87,65,4,55,3,4,74,1,5,3,9,67,90,90,5,77.3,6.7,Employed
S626,19,Male,CSE,8,7.81,49,96,50,66,87,93,80,81,63,68,3,43,7,1,70,6,0,3,10,86,99,82,19,76.15,6.17,Employed
S841,18,Male,AI&DS,1,6.53,59,72,56,87,94,68,44,50,89,93,2,99,1,4,77,2,7,9,9,62,88,75,34,71.15,3.5,Employed
S277,20,Female,CSE,5,7.38,76,75,41,50,70,71,44,81,96,90,2,80,8,6,57,5,8,11,9,41,94,68,14,78.5,5.49,Employed
S582,19,Female,EEE,5,7.05,85,89,70,54,93,74,96,81,63,53,2,80,3,4,66,2,5,11,0,67,91,73,32,68.9,3.29,Not Employed
S409,20,Female,ECE,3,6.6,79,77,80,50,37,92,42,48,72,48,4,96,7,2,50,3,0,3,6,64,49,80,31,72.05,4.31,Employed
S254,18,Male,CSE,2,8.07,61,88,41,98,54,81,80,35,39,84,2,49,6,4,86,0,8,11,7,70,67,86,23,71.55,4.69,Employed
S715,21,Female,ECE,8,6.38,94,71,41,92,70,64,89,44,43,94,3,79,8,4,84,2,6,8,7,85,94,54,0,85.5,16.37,Employed
S936,19,Male,IT,3,9.73,98,87,77,36,61,77,94,57,58,38,1,87,7,5,100,8,0,1,4,51,83,85,60,64.15,0.0,Not Employed
S822,24,Female,EEE,5,9.01,75,72,60,91,68,48,49,61,62,54,1,100,3,6,82,0,1,12,9,58,56,54,21,61.75,0.0,Not Employed
S586,19,Female,IT,1,8.54,95,64,45,37,36,98,95,41,77,46,2,99,6,2,97,2,3,4,1,63,79,75,49,63.9,0.0,Not Employed
S961,24,Female,ECE,5,9.53,99,89,48,84,64,65,75,43,82,73,0,73,6,5,97,9,0,0,2,68,70,56,26,75.15,6.73,Employed
S214,19,Male,Mechanical,6,9.07,56,91,92,47,73,42,86,83,45,42,2,62,7,4,57,3,0,10,10,64,43,74,14,62.05,0.0,Not Employed
S796,23,Female,ECE,5,5.7,89,75,70,99,69,84,83,51,62,59,4,,5,3,87,5,3,0,0,65,71,93,30,81.65,6.13,Employed
S034,23,Male,Mechanical,5,8.09,93,71,70,91,70,51,77,90,97,46,3,62,7,3,70,10,1,2,5,66,84,98,47,79.25,5.86,Employed
S917,24,Female,AI&DS,5,6.51,88,97,90,71,99,95,95,99,57,43,4,73,5,5,76,8,0,6,6,56,95,37,45,74.35,3.69,Employed
S783,20,Female,CSE,6,7.46,77,68,40,53,51,94,95,81,98,35,4,41,1,1,90,6,3,11,5,66,57,41,42,61.4,0.0,Not Employed
S061,24,Male,EEE,1,8.48,94,99,48,83,54,50,51,56,91,40,3,63,4,4,89,4,7,3,8,55,59,95,54,65.15,4.81,Not Employed
S047,18,,CSE,4,8.39,83,61,43,77,66,48,90,61,43,61,4,53,4,3,99,2,0,4,2,48,74,67,22,68.2,4.6,Not Employed
S180,21,Male,CSE,5,7.16,47,73,73,81,84,70,98,93,40,40,2,46,5,6,66,9,8,9,2,64,81,83,7,70.6,3.73,Employed
S814,24,Female,AI&DS,4,7.16,90,97,47,69,58,64,47,71,41,68,4,77,4,2,100,2,6,1,4,89,60,74,22,74.65,3.43,Employed
S497,20,Male,ECE,5,8.74,88,77,73,76,82,76,81,56,53,72,4,83,4,5,95,,8,9,4,70,69,61,16,80.3,7.81,Employed
S793,21,Female,CSE,8,6.77,98,91,46,91,59,94,48,94,41,80,4,83,6,6,51,3,1,0,0,65,58,62,18,84.7,7.91,Employed
S947,20,Male,AI&DS,3,8.67,49,82,84,64,77,62,40,75,47,69,1,86,3,1,87,10,1,4,3,82,93,41,20,67.55,4.03,Not Employed
S834,18,Female,EEE,7,6.08,91,90,86,62,69,46,55,55,48,36,4,68,3,1,94,2,1,7,0,70,60,73,55,61.25,0.0,Not Employed
S320,19,Male,AI&DS,8,9.86,94,60,55,95,78,58,72,56,45,69,2,85,7,3,90,10,,2,8,66,90,64,25,79.15,5.41,Employed
S723,22,Female,ECE,8,6.76,100,70,48,98,78,72,61,70,78,89,2,90,6,6,89,4,2,8,2,59,79,50,11,84.7,7.9,Employed
S624,22,Male,Mechanical,4,7.51,79,83,75,68,96,44,90,58,87,49,4,42,4,2,59,4,2,11,6,40,63,42,30,64.9,0.0,Not Employed
S016,19,Female,ECE,4,6.7,95,66,64,39,95,54,52,93,79,74,1,54,1,6,62,6,5,4,1,89,57,79,21,74.1,4.28,Employed
S080,23,Male,Mechanical,1,8.13,55,93,80,83,53,92,83,66,39,49,1,41,8,3,76,2,6,11,3,66,72,95,6,73.25,4.75,Employed
S327,22,Female,CSE,3,6.03,64,83,59,72,97,41,90,53,53,88,0,99,5,3,63,2,7,0,1,75,62,43,24,62.75,0.0,Not Employed
S284,23,Female,Mechanical,8,6.52,71,78,94,89,59,94,44,95,82,57,0,83,8,6,56,6,7,8,10,83,45,50,14,77.75,5.43,Employed
S476,18,Male,CSE,5,9.89,46,82,74,40,65,62,46,44,99,91,0,72,2,2,63,5,5,10,6,44,81,89,45,61.8,0.0,Not Employed
S087,18,Female,IT,3,7.32,77,79,84,50,72,63,79,63,63,52,3,49,8,6,88,5,6,11,8,98,70,62,25,72.4,4.52,Employed
S791,22,Female,CSE,1,6.14,96,78,85,91,84,43,83,57,56,38,3,85,6,2,70,4,1,10,2,40,97,45,58,63.6,0.0,Not Employed
S605,18,Male,AI&DS,2,7.85,90,75,45,81,80,61,45,87,78,43,3,65,1,5,76,10,6,11,2,75,92,46,47,67.1,4.63,Not Employed
S488,20,Male,AI&DS,2,9.83,93,78,66,92,76,55,82,89,49,57,3,60,2,3,94,6,2,12,7,93,91,97,36,78.4,6.8,Employed
S967,19,Female,EEE,5,6.21,58,97,74,65,46,83,89,65,76,73,4,84,1,1,68,5,6,7,0,,78,57,15,74.25,3.13,Employed
S897,22,Male,Mechanical,8,9.48,86,84,71,53,58,47,41,67,75,70,3,90,2,4,57,9,2,8,1,70,93,35,16,73.85,3.91,Employed
S451,21,Male,Mechanical,3,7.11,46,75,76,90,81,53,87,46,59,83,0,57,8,5,61,4,5,5,6,77,66,70,37,65.7,3.62,Not Employed
S008,23,Female,ECE,8,6.04,59,64,61,37,64,77,54,35,44,42,1,44,1,3,54,8,3,4,10,71,53,51,17,55.55,0.0,Not Employed
S158,19,Male,EEE,8,9.6,89,90,61,65,35,40,82,46,49,98,1,100,2,5,54,1,4,10,3,69,58,68,9,73.1,3.93,Employed
S395,18,Female,IT,5,7.09,45,82,96,58,86,62,40,47,90,97,1,45,3,4,57,7,0,2,10,56,54,95,52,67.95,3.79,Not Employed
S691,19,Male,CSE,2,5.93,83,89,73,94,50,74,43,60,65,46,1,71,4,2,75,10,5,3,0,96,66,39,37,69.25,4.45,Not Employed
S466,22,Male,EEE,8,9.72,61,61,42,78,88,56,52,77,42,52,1,75,6,6,53,3,7,1,9,97,79,39,9,63.05,0.0,Not Employed
S433,19,Male,IT,4,7.91,60,84,89,68,41,57,45,53,37,48,0,69,2,1,59,4,4,2,1,44,71,81,12,61.95,0.0,Not Employed
S126,22,Female,AI&DS,6,6.62,91,80,57,44,82,47,72,41,57,63,4,42,7,1,79,4,4,5,1,75,69,36,28,67.2,3.74,Not Employed
S891,24,Female,ECE,1,9.23,51,74,85,36,36,79,98,49,79,59,4,92,7,1,61,8,2,6,2,62,56,56,8,71.8,4.94,Employed
S032,19,Male,AI&DS,1,7.34,89,98,70,72,39,54,58,71,93,44,1,99,5,6,87,10,3,6,1,74,54,54,45,66.2,4.82,Not Employed
S721,23,Male,IT,4,9.18,75,93,46,65,89,68,94,75,40,37,4,57,3,6,91,1,4,12,1,42,89,80,38,61.0,0.0,Not Employed
S820,22,Male,EEE,3,5.51,68,90,84,63,80,54,48,64,89,89,0,72,6,1,80,6,1,0,8,,42,100,21,76.5,5.56,Employed
S316,18,Female,EEE,6,7.52,72,61,50,71,59,70,62,91,64,99,1,77,6,5,95,10,7,2,4,86,85,84,27,82.1,7.88,Employed
S683,18,Male,Mechanical,3,9.95,65,84,83,49,99,81,58,72,68,55,0,74,3,5,92,9,8,7,4,71,73,44,10,67.9,3.3,Not Employed
S571,19,Male,IT,2,9.42,54,98,63,57,91,85,94,57,99,54,3,41,1,5,100,1,4,4,1,62,83,58,0,68.45,4.18,Not Employed
S764,22,Male,ECE,3,6.59,95,83,56,86,83,90,48,58,88,78,2,43,2,4,90,5,5,3,0,40,84,89,17,83.3,5.48,Employed
S088,23,Male,EEE,8,7.88,68,64,98,49,42,93,75,99,60,54,1,60,8,1,93,3,7,1,8,68,91,42,14,72.7,3.91,Employed
S068,23,Female,ECE,6,9.88,76,91,63,69,45,86,67,45,90,58,4,58,6,1,55,5,4,4,7,78,85,89,18,80.3,5.5,Employed
S770,21,Female,Mechanical,1,8.45,48,64,78,84,66,92,42,67,77,59,0,64,4,3,96,8,8,2,4,79,97,64,11,73.0,3.66,Employed
S093,20,Female,ECE,3,6.85,56,94,70,65,63,59,94,53,94,42,4,66,7,5,83,2,6,3,4,53,61,45,14,64.25,0.0,Not Employed
S006,18,Female,Mechanical,6,6.0,72,70,69,35,68,72,88,57,99,48,2,93,4,2,73,2,8,12,8,98,40,76,24,65.1,3.98,Not Employed
S905,24,Male,ECE,3,9.19,53,91,52,93,93,87,85,40,84,36,4,90,6,3,84,1,8,6,7,56,64,66,17,65.9,3.08,Not Employed
S726,19,Male,AI&DS,6,9.31,92,70,98,82,71,53,100,43,62,57,4,91,2,6,58,3,1,2,3,78,49,35,35,69.7,4.25,Not Employed
S876,22,Female,AI&DS,6,8.58,65,71,47,91,74,66,60,62,76,63,3,91,1,1,82,9,1,5,6,83,70,59,2,75.55,5.88,Employed
S509,23,Male,,3,7.6,65,83,76,83,39,60,84,48,80,36,1,66,8,3,71,10,1,2,5,59,50,94,29,68.05,4.09,Not Employed
S369,22,Female,ECE,7,9.67,70,83,64,97,74,81,77,44,87,39,0,64,3,2,98,6,4,12,5,72,85,97,31,68.4,4.27,Not Employed
S245,24,Female,Mechanical,7,8.3,74,92,67,92,84,62,54,58,89,,4,71,4,6,82,4,6,8,9,63,42,39,39,62.6,0.0,Not Employed
S015,24,Female,EEE,3,7.43,47,79,63,40,80,53,83,66,48,80,4,96,7,5,97,2,3,2,2,96,66,38,33,62.5,0.0,Not Employed
S232,19,Female,ECE,1,7.0,80,100,53,36,60,84,58,67,43,74,2,72,6,1,57,10,5,5,6,86,76,38,6,75.3,7.5,Employed
S377,22,Male,AI&DS,8,9.09,64,95,95,94,56,97,68,49,96,65,1,53,3,6,94,1,1,6,0,50,99,76,1,80.0,7.71,Employed
S950,22,Female,Mechanical,6,8.81,78,72,93,56,76,84,67,96,52,86,1,41,5,4,80,2,2,5,4,99,53,75,8,82.0,7.21,Employed
S388,20,Male,Mechanical,7,5.83,61,76,64,55,86,69,45,67,89,53,4,53,2,6,96,4,3,11,5,76,82,100,8,74.7,4.21,Employed
S757,18,Male,CSE,4,7.11,93,98,80,55,61,85,66,48,64,62,3,86,7,1,71,2,3,0,4,60,75,100,31,78.15,5.28,Employed
S111,21,Male,Mechanical,5,9.63,82,65,83,52,75,47,55,74,49,58,2,84,3,5,74,6,2,9,6,67,51,97,24,70.65,4.27,Employed
S537,20,Male,IT,8,9.7,98,79,63,53,74,61,86,80,75,92,2,67,7,4,50,6,0,6,5,81,91,,6,85.55,17.75,Employed
S430,21,Male,IT,8,7.36,97,85,40,82,63,72,58,69,68,74,3,83,4,1,76,0,0,0,2,90,63,75,23,77.5,6.01,Employed
S835,24,Female,AI&DS,5,8.34,95,86,63,78,95,91,77,51,51,39,1,40,1,3,67,9,6,4,6,99,44,53,56,62.85,0.0,Not Employed
S939,22,Female,CSE,4,8.82,59,68,69,55,98,51,74,46,55,50,3,54,6,6,53,4,6,0,2,93,67,88,9,68.85,3.91,Not Employed
S206,21,Male,CSE,1,8.11,89,90,84,54,82,89,45,66,55,98,0,83,6,6,53,0,5,10,2,84,74,48,9,80.05,5.38,Employed
S215,22,Male,IT,3,6.97,89,74,49,41,85,68,,99,46,63,3,58,7,2,58,5,1,7,9,87,43,86,26,73.85,3.53,Employed
S694,20,Male,AI&DS,7,7.88,66,61,77,52,87,52,50,55,62,99,1,44,4,4,67,5,5,6,1,45,56,39,33,65.3,4.39,Not Employed
